,Alias,AppAccountFlag,AttrStatus,ChatRoomId,City,ContactFlag,DisplayName,EncryChatRoomId,HeadImgUrl,HideInputBarFlag,IsOwner,KeyWord,MemberCount,MemberList,NickName,OwnerUin,PYInitial,PYQuanPin,Province,RemarkName,RemarkPYInitial,RemarkPYQuanPin,Sex,Signature,SnsFlag,StarFriend,Statues,Uin,UniFriend,UserName,VerifyFlag
0,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=620762117&username=@@aef903f6da51536b6165c6b59441d395e87a16ca7a29fbc68ef1b75d3e106c4b&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,0,,0,[],上屋顶,0,SWD,shangwuding,,,,,0,,0,0,0,0,0,@@aef903f6da51536b6165c6b59441d395e87a16ca7a29fbc68ef1b75d3e106c4b,0
1,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=631137446&username=@@8f611876002e28021b595543fb629c32b565d22284907b73ed459cec6e8c0fed&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,0,,0,[],SW3 管理闲聊群,0,SW3GLXLQ,SW3guanlixianliaoqun,,,,,0,,0,0,0,0,0,@@8f611876002e28021b595543fb629c32b565d22284907b73ed459cec6e8c0fed,0
2,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=632294095&username=@@90b7c98657f56317157f164bb12cd941d59491e83898dbbc7d67259f8eb6b5d8&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,1,,0,[],家庭群,0,JTQ,jiatingqun,,,,,0,,0,0,1,0,0,@@90b7c98657f56317157f164bb12cd941d59491e83898dbbc7d67259f8eb6b5d8,0
3,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=632266199&username=@@912974922d5535c352a272b3f7b18a7838e4b8af4d6c4b19e61accacd0d9206d&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,0,,0,[],车匠人创业团队,0,CJRCYTD,chejiangrenchuangyetuandui,,,,,0,,0,0,0,0,0,@@912974922d5535c352a272b3f7b18a7838e4b8af4d6c4b19e61accacd0d9206d,0
4,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=632279432&username=@@d724ee02938326daf856d74b5e1a5637017997eef2f81c0c0c00d7a735936c50&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,1,,0,[],十全十美,0,SQSM,shiquanshimei,,,,,0,,0,0,0,0,0,@@d724ee02938326daf856d74b5e1a5637017997eef2f81c0c0c00d7a735936c50,0
5,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=637707267&username=@@026ddcc6b2d660687b9ff465ed1b95992508d7a924ddb8ff03aaaa94d367e888&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,0,,0,[],ES黑客星期四,0,ESHKXJS,ESheikexingjisi,,,,,0,,0,0,1,0,0,@@026ddcc6b2d660687b9ff465ed1b95992508d7a924ddb8ff03aaaa94d367e888,0
6,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=628699552&username=@@affe1712e25fd0cbe52a4be5d6f6820a9c536abf07aa82874a787c138c01fcd6&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,1,,0,[],DA4 LT Group,0,DA4LTGROUP,DA4LTGroup,,,,,0,,0,0,1,0,0,@@affe1712e25fd0cbe52a4be5d6f6820a9c536abf07aa82874a787c138c01fcd6,0
7,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=637718372&username=@@fe52c76074e429109c1480dbe7e5a8a8fe3f3206d400612f597bb4ee56c8dfd0&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,1,,0,[],宝小3班同学群,0,BX3BTXQ,baoxiao3bantongxuequn,,,,,0,,0,0,1,0,0,@@fe52c76074e429109c1480dbe7e5a8a8fe3f3206d400612f597bb4ee56c8dfd0,0
8,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=634792352&username=@@fc74d37e2097d993f9958e61902f3b7f354911ddb48430b6bccb9f952ffe3c45&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,1,,0,[],第三小组,0,DSXZ,disanxiaozu,,,,,0,,0,0,1,0,0,@@fc74d37e2097d993f9958e61902f3b7f354911ddb48430b6bccb9f952ffe3c45,0
9,,0,0,0,,3,,,/cgi-bin/mmwebwx-bin/webwxgetheadimg?seq=647196761&username=@@536ea296ddb40d6c5452d7689b4dd940a57d5a7996bdee09ae503766fcc6fcc2&skey=@crypt_66beaad_7489847fe7bbe92e5ce6e72039801ce8,0,0,,0,[],15级寿涌毅团队,0,15JSCYTD,15jishouchongyituandui,,,,,0,,0,0,1,0,0,@@536ea296ddb40d6c5452d7689b4dd940a57d5a7996bdee09ae503766fcc6fcc2,0
